Ax_By_Cz,A,B,C,x,y,z,structure,S1,S2,S3,S4,Energy,Av_chg_x,Av_chg_y,Avg_chg_z,Charge,M,state
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,5",1,1,0,0,-193.86024752,7.9,6.3,4.0,188.089,3.229,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,6",1,1,0,0,-193.78202715,7.9,6.3,4.0,188.087,2.939,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,7",1,1,0,0,-193.81939893,7.9,6.3,4.0,188.088,2.76,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,8",1,1,0,0,-193.78202721,7.9,6.3,4.0,188.087,2.939,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,13",1,0,0,1,-193.86024139,7.9,6.3,4.0,188.089,3.229,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,14",1,0,0,1,-193.78201341,7.9,6.3,4.0,188.087,2.939,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,15",1,0,0,1,-193.81939212,7.9,6.3,4.0,188.088,2.76,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,16",1,0,0,1,-193.78201311,7.9,6.3,4.0,188.087,2.939,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"5,9",0,1,1,0,-193.8602414,7.9,6.3,4.0,188.089,3.229,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"5,10",0,1,1,0,-193.78201409,7.9,6.3,4.0,188.087,2.939,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"5,11",0,1,1,0,-193.81939214,7.9,6.3,4.0,188.088,2.76,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"5,12",0,1,1,0,-193.78201399,7.9,6.3,4.0,188.087,2.939,1.0
Fe15_Mn1_Te16,Fe,Mn,Te,0.9375,0.0625,1,"1,",1,0,0,0,-152.27073266,8.5,7.0,3.9,196.726,0.0,0.0
